iter	RMSE
237	0.5028245404
238	0.5019273689
239	0.5018903355
240	0.5018566613
241	0.5018247786
242	0.5007667947
243	0.5007352918
244	0.5005360659
245	0.500500863
246	0.4999725598
247	0.499317382
248	0.4980067731
249	0.4975488004
250	0.4974873362
251	0.4974588188
252	0.4967497137
253	0.4967218234
254	0.4961494229
255	0.4951606375
256	0.4951354217
257	0.4943807465
258	0.4933649769
259	0.4927884074
260	0.4923118047
261	0.4914843474
262	0.491093469
263	0.4905367435
264	0.4895919527
265	0.4892144032
266	0.4891713022
267	0.4886357858
268	0.4886092595
269	0.4877999627
270	0.4870670652
271	0.487028587
272	0.4869723338
273	0.4859921261
274	0.4851719241
275	0.48460508
276	0.4839609733
277	0.4839259735
278	0.4832568142
279	0.4828005983
280	0.4818929164
281	0.4813889897
282	0.4809085211
283	0.4808415651
284	0.4808095182
285	0.4807493205
286	0.4801938549
287	0.4801632261
288	0.479637969
289	0.479604717
290	0.4789698708
291	0.4782177302
292	0.4777433355
293	0.4770790065
294	0.4766369343
295	0.4762063792
296	0.4761793126
297	0.4757083083
298	0.4749694391
299	0.4747019259
300	0.4742188115
301	0.4741890026
302	0.4738585605
303	0.4738266382
304	0.4730253732
305	0.4729982446
306	0.4719212691
307	0.4718336787
308	0.4713384468
309	0.4706885947
310	0.4694609616
311	0.4694345327
312	0.4691393473
313	0.4683996249
314	0.4683763768
315	0.4676492122
316	0.4672467526
317	0.4666756374
318	0.4660959668
319	0.4659241894
320	0.4658727591
321	0.4651661582
322	0.4644708049
323	0.4637592164
324	0.4634346425
325	0.4630305288
326	0.4630125427
327	0.4626601943
328	0.4626312342
329	0.4625873893
330	0.4620765233
331	0.4613435427
332	0.4609717797
333	0.4605942234
334	0.4605735542
335	0.460258404
336	0.459829783
337	0.4597925483
338	0.459317813
